x;y
143;-99
141;-99
140;-99
139;-99
137;-98
134;-91
127;-84
124;-81
120;-77
115;-72
110;-68
101;-58
96;-53
91;-49
87;-46
78;-42
73;-39
69;-37
64;-35
61;-31
54;-25
51;-22
47;-18
40;-13
37;-11
33;-10
30;-8
26;-6
19;-2
16;1
13;4
10;7
8;11
0;20
-1;23
-3;27
-6;33
-10;38
-11;42
-11;44
-11;46
-11;48
-11;50
-12;54
-14;56
-15;58
-17;59
-18;59
-24;59
-29;59
-40;60
-45;61
-50;62
-53;64
-59;67
-63;68
-66;70
-69;72
-74;76
-77;78
-79;80
-84;85
-85;88
-85;90
-85;93
-85;95
-85;98
-85;101
-85;103
-85;104
-85;107
-85;108
-85;108
-85;108
-85;108
-85;108
-85;108
-85;108
-88;108
-94;108
-97;108
-100;108
