x;y;X;Y
-146;-115;-120;-120
-146;-115;120;-120
-146;-115;;
-146;-115;;
-146;-115;;
-146;-115;;
-146;-115;;
-146;-115;;
-146;-115;;
-146;-115;;
-146;-115;;
-146;-115;;
-142;-115;;
-138;-117;;
-134;-119;;
-125;-123;;
-121;-125;;
-117;-128;;
-113;-128;;
-109;-128;;
-102;-128;;
-98;-128;;
-95;-128;;
-88;-128;;
-84;-128;;
-80;-128;;
-77;-128;;
-69;-128;;
-66;-128;;
-62;-128;;
-58;-128;;
-51;-128;;
-47;-128;;
-44;-128;;
-37;-128;;
-33;-128;;
-29;-128;;
-26;-128;;
-22;-128;;
-15;-128;;
-11;-127;;
-7;-126;;
-3;-125;;
0;-124;;
8;-122;;
12;-122;;
16;-122;;
19;-122;;
26;-122;;
30;-122;;
34;-122;;
37;-122;;
44;-122;;
48;-122;;
55;-122;;
59;-122;;
63;-122;;
66;-122;;
74;-122;;
77;-122;;
81;-122;;
85;-122;;
88;-122;;
92;-122;;
99;-122;;
103;-122;;
110;-122;;
114;-122;;
116;-122;;
119;-122;;
124;-122;;
126;-122;;
129;-122;;
129;-122;;
129;-122;;
129;-122;;
129;-122;;
129;-122;;
129;-122;;
129;-122;;
129;-122;;
129;-122;;
129;-122;;
129;-122;;
129;-122;;
129;-122;;
129;-122;;
