x;y
120;-120
120;-120
120;-120
120;-120
120;-119
120;-117
120;-116
120;-113
120;-111
120;-110
120;-108
120;-105
120;-104
120;-103
120;-101
120;-98
120;-97
120;-95
120;-92
120;-89
120;-86
120;-82
120;-79
120;-73
120;-68
120;-63
120;-59
120;-49
120;-44
120;-43
120;-43
120;-43
120;-43
120;-43
120;-40
120;-30
120;-26
120;-21
120;-16
120;-11
120;-10
120;-8
120;-6
120;-2
120;1
120;4
120;8
120;15
120;19
120;24
120;29
120;38
120;43
120;47
120;47
120;47
120;47
120;47
120;47
120;57
120;61
120;66
121;71
124;76
126;76
128;76
129;76
130;76
130;77
130;81
130;84
130;91
130;94
130;95
130;95
130;95
130;95
130;95
130;96
130;104
130;107
130;111
130;115
130;122
130;126
130;129
130;130
130;130
130;130
130;130
130;130
130;130
130;130
130;130
130;130
130;130
130;130
130;130
130;130
130;130
130;130
130;130
130;130
130;130
130;130
130;130
130;130
