Year,   Total,   Car, Minibus,   Bus,  Small truck,  Truck,Motorcycle,vehicles,machinery,Tractor
1966,  231 977,  91 469,  10 913,  12 041,  31 462,  47 931,  32 099,  3 610,  2 452,-
1967,  284 194,  112 367,  16 008,  13 332,  39 927,  56 889,  39 647,  3 641,  2 383,-
1968,  318 768,  125 375,  18 967,  13 948,  43 441,  62 616,  47 062,  4 033,  3 326,-
1969,  354 398,  137 345,  20 540,  15 529,  48 655,  69 478,  52 959,  4 568,  5 324,-
1970,  369 808,  137 771,  20 916,  15 980,  52 152,  70 730,  60 994,  5 070,  6 195,-
1971,  403 880,  153 676,  22 380,  17 140,  57 011,  73 433,  68 417,  5 349,  6 474,-
1972,  460 087,  187 272,  25 559,  18 504,  62 796,  78 920,  74 402,  5 747,  6 887,-
1973,  543 318,  240 360,  30 055,  20 011,  71 043,  86 780,  80 860,  6 420,  7 789,-
1974,  647 947,  313 160,  34 122,  21 404,  81 025,  95 309,  86 028,  7 338,  9 561,-
1975,  785 920,  403 546,  40 623,  23 763,  98 579,  108 381,  91 421,  8 450,  11 157,-
1976,  920 141,  488 894,  46 066,  25 388,  116 861,  122 176,  96 984,  9 224,  14 548,-
1977, 1 042 239,  560 424,  51 999,  27 096,  134 213,  138 093,  102 127,  10 137,  18 150,-
1978, 1 142 561,  624 438,  56 836,  28 559,  144 695,  146 551,  109 890,  10 698,  20 894,-
1979, 1 566 405,  688 687,  61 596,  30 634,  155 278,  157 095,  120 378,  11 291,  22 875,  318 571
1980, 1 696 681,  742 252,  64 707,  32 783,  165 821,  164 893,  137 931,  11 777,  24 090,  352 427
1981, 1 802 742,  776 432,  66 514,  33 839,  172 269,  172 372,  160 557,  12 459,  26 246,  382 054
1982, 1 901 926,  811 465,  69 598,  35 432,  178 762,  180 772,  182 795,  13 386,  30 160,  399 556
1983, 2 041 244,  856 350,  73 585,  38 478,  186 427,  190 277,  217 327,  14 705,  33 532,  430 563
1984, 2 215 174,  919 577,  80 697,  43 638,  198 106,  197 721,  256 338,  16 312,  39 445,  463 340
1985, 2 391 357,  983 444,  87 951,  47 119,  212 505,  205 496,  289 052,  17 639,  45 561,  502 590
1986, 2 641 353, 1 087 234,  97 917,  50 798,  224 755,  217 111,  327 326,  19 448,  50 819,  565 945
1987, 2 887 287, 1 193 021,  106 314,  53 554,  233 480,  225 872,  369 894,  21 236,  55 129,  628 787
1988, 3 140 265, 1 310 257,  112 885,  56 172,  240 718,  234 166,  420 889,  23 301,  58 300,  683 577
